RECEIVING DATE,Coil No,Coil_Details,Weight,Projects,Project_Manager,Coil_Ageing
04-01-2019,TWPR8L0105,0.5 X 1060 X Cottage Green,2600,KIRBY,Others,2021
29-06-2019,F06PG08167,0.4 X 1220 X RAL 7045,1650,creative roofings,Manoj,1845
27-07-2019,TC2A9F6595,0.5 X 1220 X CARIBIANBLUE,1055,KIRBY,Others,1817
29-02-2020,KG1A0B1060,0.5 X 1220 X GP COIL,2625,RNR DCL,Others,1600
11-06-2020,20E3441660A,0.4 X 1220 X WOOD FINISH,2255,WIN MATRIX,Manoj,1497
11-06-2020,20E3441657B,0.4 X 1220 X WOOD FINISH,3005,WIN MATRIX,Manoj,1497
11-06-2020,20E3441661B,0.4 X 1220 X WOOD FINISH,3905,WIN MATRIX,Manoj,1497
11-06-2020,20E3441657A,0.4 X 1220 X WOOD FINISH,4220,WIN MATRIX,Manoj,1497
18-07-2020,20EPL04487,0.3 X 1220 X RAL 6002,3320,Press Mach,Senthil,1460
04-08-2020,VC1A8K1618,0.5 X 1220 X RAL 5013,1340,DTA,Senthil,1443
24-12-2020,TC1A0K0704,0.5 X 1220 X RAL 6018,2591,INTER ARCH PGCIL,Others,1301
19-02-2021,21CA0013256,0.4 X 1060 X RAL 9002 ALUMINIUM,810,DB INFRA,Manoj,1244
21-05-2021,19CA0038774A,0.71 X 1220 X Aluminium (9006),560,Oriental,Manoj,1153
28-05-2021,A140577312,0.6 X 1220 X RAL 9003 SMP,1165,Techno Door,Manoj,1146
27-08-2021,K170701220,0.5 X 1220 X RAL 7006,5904,BEL,Manoj,1055
27-08-2021,K170701110,0.5 X 1220 X RAL 7006,5950,BEL,Manoj,1055
27-08-2021,K170701210,0.5 X 1220 X RAL 7006,6090,BEL,Manoj,1055
10-10-2021,TV21I0624,0.4 X 1220 X BGL,590,REGULAR,REGULAR,1011
10-11-2021,PZ1C9J1946,0.35 X 1220 X RAL 9002,975,REGULAR,REGULAR,980
17-11-2021,AC1AK1026,0.3 X 1220 X RAL 9002,790,REGULAR,REGULAR,973
18-11-2021,PZ1CXJ0785,0.45 X 1220 X RAL 9003,335,REGULAR,REGULAR,972
26-11-2021,PZ2C9J1390,0.3 X 1220 X RAL 9002,1130,REGULAR,REGULAR,964
25-12-2021,C0121L0777,0.3 X 1060 X RAL 9002 (Z120),800,REGULAR,REGULAR,935
28-12-2021,C0121L0761,0.3 X 1060 X RAL 9002 (Z 90),590,REGULAR,REGULAR,932
05-01-2022,21B3KS1000,0.8 X 1220 X GI COIL,3180,REGULAR,REGULAR,924
11-01-2022,PG1CXJ1516,0.4 X 1220 X RAL 9006,1675,REGULAR,REGULAR,918
17-01-2022,K1C0931210,0.8 X 1060 X RAL 1015,4075,KIRBY,Others,912
02-02-2022,MLK/24A22/0537,0.5 X 1060 X RAL 5012 SMP,1695,TVH CST/odisha/ratnathar,Vivek,896
07-02-2022,K1C0930120,0.8 X 1060 X RAL 1015,3060,KIRBY,Others,891
09-02-2022,TC2A2A6360,0.5 X 1220 X RAL 5012,565,revanta/odisa,BOP,889
21-03-2022,TC1A2C1019,0.47 X 1220 X RAL 5005,4155,GAINT,Manoj,849
21-03-2022,K220290220,0.5 X 1220 X RAL 9002 SMP,845,ACCORD / FABEX,Others,849
22-03-2022,KC1J2C0065,0.45 X 1220 X BRICK RED,530,REGULAR,BOP,848
23-03-2022,TC2A2C5948,0.47 X 1220 X RAL 9006,745,GAINT,Manoj,847
23-03-2022,TC1A2C1017,0.47 X 1220 X RAL 5005,1090,GAINT,Manoj,847
23-03-2022,TC1A2C1018,0.47 X 1220 X RAL 5005,3570,GAINT,Manoj,847
23-03-2022,TC1A2C1020,0.47 X 1220 X RAL 5005,3985,GAINT,Manoj,847
24-04-2022,14RNCCOEGT,0.3 X 1060 X RAL 9002,935,REGULAR,REGULAR,815
27-04-2022,MLK/31C22/2686,0.35 X 1060 X RAL 9002,600,greeno care,Senthil,812
30-Apr,PL8FH2963,0.45 X 1220 X Turquoise Blue,1845,Hari Om Roofings,Senthil,809
13-05-2022,KC2J2D2612,0.35 X 1070 X RAL 9002,565,REGULAR,REGULAR,796
13-05-2022,KC3A110981,0.45 X 1220 X Terracota,2915,REGULAR,REGULAR,796
